gene	mutation	subtype
1	G4	mut1	S2
2	G4	mut3	S3
3	G3	mut5	S3
4	G2	mut5	S2
5	G8	mut4	S1
6	G8	mut2	S3
7	G6	mut5	S3
8	G6	mut5	S4
9	G6	mut5	S3
10	G4	mut2	S4
11	G9	mut6	S2
12	G5	mut2	S4
13	G3	mut2	S3
14	G8	mut5	S3
15	G7	mut4	S3
16	G6	mut3	S3
17	G5	mut3	S3
18	G8	mut3	S4
19	G2	mut5	S4
20	G7	mut3	S2
21	G9	mut3	S2
22	G6	mut5	S1
23	G2	mut1	S2
24	G8	mut2	S4
25	G4	mut2	S2
26	G8	mut1	S2
27	G1	mut4	S3
28	G5	mut6	S2
29	G3	mut6	S3
30	G3	mut2	S3
31	G7	mut4	S4
32	G7	mut3	S4
33	G5	mut4	S3
34	G8	mut2	S1
35	G8	mut4	S3
36	G1	mut6	S3
37	G4	mut2	S3
38	G2	mut4	S1
39	G5	mut3	S3
40	G8	mut3	S2
41	G9	mut2	S1
42	G5	mut4	S3
43	G4	mut2	S3
44	G1	mut2	S3
45	G7	mut4	S1
46	G5	mut5	S4
47	G2	mut3	S3
48	G3	mut3	S2
49	G2	mut4	S1
50	G3	mut4	S3
51	G6	mut3	S4
52	G5	mut5	S2
53	G4	mut4	S2
54	G3	mut3	S2
55	G6	mut3	S3
56	G7	mut4	S4
57	G7	mut5	S2
58	G3	mut6	S2
59	G4	mut4	S2
60	G4	mut1	S3
61	G4	mut1	S4
62	G2	mut5	S1
63	G4	mut1	S3
64	G6	mut1	S3
65	G4	mut1	S4
66	G2	mut5	S3
67	G3	mut4	S1
68	G3	mut2	S3
69	G7	mut2	S2
70	G5	mut5	S2
71	G4	mut4	S1
72	G1	mut3	S2
73	G3	mut4	S3
74	G5	mut2	S2
75	G6	mut2	S4
76	G2	mut3	S2
77	G2	mut3	S4
78	G4	mut1	S3
79	G1	mut5	S2
80	G5	mut4	S3
81	G7	mut2	S3
82	G8	mut5	S3
83	G1	mut5	S1
84	G6	mut1	S3
85	G9	mut6	S1
86	G4	mut5	S2
87	G6	mut4	S3
88	G6	mut5	S3
89	G6	mut5	S2
90	G8	mut2	S3
91	G4	mut3	S3
92	G6	mut2	S3
93	G4	mut1	S3
94	G5	mut2	S4
95	G8	mut1	S4
96	G3	mut2	S3
97	G2	mut3	S3
98	G7	mut5	S2
99	G9	mut1	S3
100	G6	mut3	S2
